Latitude,Longitude,Total Segment Length (km),Average Modal Freeboard (m),Average Pressure Ridge (m),Ridge Fraction (%),Surface Roughness (m),File,Thickness (m),Source File
-68.1520317571793,-41.10764314058727,24.0,0.09,,0.0,0.0882566049695015,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-67.95245343334047,-41.1700563069753,21.0,0.08,,0.0,0.0716692954301834,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-67.67806208976761,-41.254512815245455,18.0,0.1,,0.0,0.0839275047183036,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-68.37796775278612,-41.035912227051,15.0,0.12,,0.0,0.0653970390558242,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.5,Combined_25km_jan24_gt1r.csv
-68.1520317571793,-41.10764314058727,24.0,0.09,,0.0,0.0882566049695015,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-67.95245343334047,-41.1700563069753,21.0,0.08,,0.0,0.0716692954301834,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-67.67806208976761,-41.254512815245455,18.0,0.1,,0.0,0.0839275047183036,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-69.20033256638706,-23.631892138154864,12.0,0.04,,0.0,0.0374767892062664,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-66.58127316742377,-24.444578938003666,3.0,0.13,,0.0,0.032884731888771,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.54,Combined_25km_jan24_gt1r.csv
-66.4617050299567,-24.478470158203383,24.0,0.08,,0.0,0.0399824753403663,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-66.23381298658855,-24.54238049865136,27.0,0.09,1.0352696180343628,0.0494176418417029,0.0599034242331981,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-66.00650708453082,-24.605275951582747,24.0,0.11,,0.0,0.0642433166503906,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.46,Combined_25km_jan24_gt1r.csv
-69.20033256638706,-23.631892138154864,12.0,0.04,,0.0,0.0374767892062664,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-66.58127316742377,-24.444578938003666,3.0,0.13,,0.0,0.032884731888771,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.54,Combined_25km_jan24_gt1r.csv
-66.4617050299567,-24.478470158203383,24.0,0.08,,0.0,0.0399824753403663,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-66.23381298658855,-24.54238049865136,27.0,0.09,1.0352696180343628,0.0494176418417029,0.0599034242331981,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-66.00650708453082,-24.605275951582747,24.0,0.11,,0.0,0.0642433166503906,processed_ATL10-02_20240106205923_02912201_006_01.h5,0.46,Combined_25km_jan24_gt1r.csv
-77.43810439273598,-44.413324038372686,21.0,0.21,0.874832808971405,0.7546427194029093,0.1381571292877197,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.83,Combined_25km_jan24_gt1r.csv
-75.36513151914976,-42.96782570000624,9.0,0.15,0.8694271743297577,5.179939046502113,0.2023106068372726,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.61,Combined_25km_jan24_gt1r.csv
-74.75729951117852,-42.6109233739733,12.0,0.25,,0.0,0.1197910532355308,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.97,Combined_25km_jan24_gt1r.csv
-74.48321499394851,-42.45796443962064,6.0,0.2,,0.0,0.1072496473789215,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.79,Combined_25km_jan24_gt1r.csv
-74.35597610922159,-42.38854244301513,3.0,0.04,,0.0,0.1015504673123359,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-77.43810439273598,-44.413324038372686,21.0,0.21,0.874832808971405,0.7546427194029093,0.1381571292877197,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.83,Combined_25km_jan24_gt1r.csv
-75.36513151914976,-42.96782570000624,9.0,0.15,0.8694271743297577,5.179939046502113,0.2023106068372726,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.61,Combined_25km_jan24_gt1r.csv
-74.75729951117852,-42.6109233739733,12.0,0.25,,0.0,0.1197910532355308,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.97,Combined_25km_jan24_gt1r.csv
-74.48321499394851,-42.45796443962064,6.0,0.2,,0.0,0.1072496473789215,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.79,Combined_25km_jan24_gt1r.csv
-74.35597610922159,-42.38854244301513,3.0,0.04,,0.0,0.1015504673123359,processed_ATL10-02_20240107093341_02992201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-73.31538356802862,-39.87933851052945,24.0,0.21,0.9247395892937978,5.4386091767810285,0.241605520248413,processed_ATL10-02_20240107220759_03072201_006_01.h5,0.83,Combined_25km_jan24_gt1r.csv
-73.02032896818855,-40.02038902237089,12.0,0.33,0.8569696545600891,1.1339928954839706,0.1451650708913803,processed_ATL10-02_20240107220759_03072201_006_01.h5,1.26,Combined_25km_jan24_gt1r.csv
-72.88659057503736,-40.083093122185055,12.0,0.1,0.8614461223284403,6.873483443632722,0.1960493922233581,processed_ATL10-02_20240107220759_03072201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-69.86308094795774,-41.31273138393755,15.0,0.07,0.7148657441139221,2.1422097086906438,0.0987594872713089,processed_ATL10-02_20240107220759_03072201_006_01.h5,0.32,Combined_25km_jan24_gt1r.csv
-69.73893318919941,-41.35691174955935,12.0,0.04,0.7465784549713135,5.703973327763379,0.1634988486766815,processed_ATL10-02_20240107220759_03072201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-73.31538356802862,-39.87933851052945,24.0,0.21,0.9247395892937978,5.4386091767810285,0.241605520248413,processed_ATL10-02_20240107220759_03072201_006_01.h5,0.83,Combined_25km_jan24_gt1r.csv
-73.02032896818855,-40.02038902237089,12.0,0.33,0.8569696545600891,1.1339928954839706,0.1451650708913803,processed_ATL10-02_20240107220759_03072201_006_01.h5,1.26,Combined_25km_jan24_gt1r.csv
-72.88659057503736,-40.083093122185055,12.0,0.1,0.8614461223284403,6.873483443632722,0.1960493922233581,processed_ATL10-02_20240107220759_03072201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-69.86308094795774,-41.31273138393755,15.0,0.07,0.7148657441139221,2.1422097086906438,0.0987594872713089,processed_ATL10-02_20240107220759_03072201_006_01.h5,0.32,Combined_25km_jan24_gt1r.csv
-69.73893318919941,-41.35691174955935,12.0,0.04,0.7465784549713135,5.703973327763379,0.1634988486766815,processed_ATL10-02_20240107220759_03072201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-74.17909531860117,-36.58435222780694,3.0,0.0,,0.0,0.0355237834155559,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.07,Combined_25km_jan24_gt1r.csv
-73.78210899569382,-36.37785300500804,12.0,0.06,1.0750643908977509,37.84868307411671,0.4547581374645233,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.28,Combined_25km_jan24_gt1r.csv
-71.51457296562234,-35.34342852250684,12.0,0.16,0.9609347581863404,5.794651247560978,0.173577606678009,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.65,Combined_25km_jan24_gt1r.csv
-71.43526831044439,-35.31103220076706,6.0,0.07,,0.0,0.1622107774019241,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.32,Combined_25km_jan24_gt1r.csv
-71.07873034489553,-35.16825365498997,9.0,0.2,,0.0,0.0729912370443344,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.79,Combined_25km_jan24_gt1r.csv
-70.8984252610358,-35.09775595968388,21.0,0.22,1.0449016094207764,1.2945289058344704,0.1334582418203354,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.86,Combined_25km_jan24_gt1r.csv
-70.69134136800798,-35.01802121731727,24.0,0.15,0.9260334968566896,2.8074328205548227,0.1765483617782592,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.61,Combined_25km_jan24_gt1r.csv
-70.47079488317932,-34.934622812901964,24.0,0.08,0.6629694700241089,0.0744545832276344,0.1082377582788467,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-70.2103698764477,-34.837986661194485,15.0,0.05,,0.0,0.0625606253743171,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-70.01234644191449,-34.76589634704752,18.0,0.13,0.7430053353309631,0.2839240555961926,0.100621186196804,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.54,Combined_25km_jan24_gt1r.csv
-69.8040000892799,-34.69118209426981,15.0,0.13,,0.0,0.0801897570490837,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.54,Combined_25km_jan24_gt1r.csv
-69.66033603287835,-34.640316521386694,3.0,0.1,,0.0,0.0358241721987724,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-74.17909531860117,-36.58435222780694,3.0,0.0,,0.0,0.0355237834155559,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.07,Combined_25km_jan24_gt1r.csv
-73.78210899569382,-36.37785300500804,12.0,0.06,1.0750643908977509,37.84868307411671,0.4547581374645233,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.28,Combined_25km_jan24_gt1r.csv
-71.51457296562234,-35.34342852250684,12.0,0.16,0.9609347581863404,5.794651247560978,0.173577606678009,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.65,Combined_25km_jan24_gt1r.csv
-71.43526831044439,-35.31103220076706,6.0,0.07,,0.0,0.1622107774019241,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.32,Combined_25km_jan24_gt1r.csv
-71.07873034489553,-35.16825365498997,9.0,0.2,,0.0,0.0729912370443344,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.79,Combined_25km_jan24_gt1r.csv
-70.8984252610358,-35.09775595968388,21.0,0.22,1.0449016094207764,1.2945289058344704,0.1334582418203354,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.86,Combined_25km_jan24_gt1r.csv
-70.69134136800798,-35.01802121731727,24.0,0.15,0.9260334968566896,2.8074328205548227,0.1765483617782592,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.61,Combined_25km_jan24_gt1r.csv
-70.47079488317932,-34.934622812901964,24.0,0.08,0.6629694700241089,0.0744545832276344,0.1082377582788467,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-70.2103698764477,-34.837986661194485,15.0,0.05,,0.0,0.0625606253743171,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-70.01234644191449,-34.76589634704752,18.0,0.13,0.7430053353309631,0.2839240555961926,0.100621186196804,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.54,Combined_25km_jan24_gt1r.csv
-69.8040000892799,-34.69118209426981,15.0,0.13,,0.0,0.0801897570490837,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.54,Combined_25km_jan24_gt1r.csv
-69.66033603287835,-34.640316521386694,3.0,0.1,,0.0,0.0358241721987724,processed_ATL10-02_20240108090800_03142201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-68.6129340939408,-12.406744441779022,24.0,0.05,,0.0,0.0281389728188514,processed_ATL10-02_20240108200801_03212201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-68.37550442077203,-12.483381563798895,24.0,0.05,,0.0,0.0421364605426788,processed_ATL10-02_20240108200801_03212201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-68.6129340939408,-12.406744441779022,24.0,0.05,,0.0,0.0281389728188514,processed_ATL10-02_20240108200801_03212201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-68.37550442077203,-12.483381563798895,24.0,0.05,,0.0,0.0421364605426788,processed_ATL10-02_20240108200801_03212201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-74.4138234952124,-31.00031738122544,27.0,0.09,0.7340717315673828,0.7133475608295865,0.1282017081975937,processed_ATL10-02_20240109084218_03292201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-74.24174477991058,-30.907247427857172,12.0,0.09,0.8067207336425781,0.6495615467429161,0.1236623972654342,processed_ATL10-02_20240109084218_03292201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-73.93231428534374,-30.74449687904453,21.0,0.31,0.9024532238642374,7.58290205683027,0.2044990956783294,processed_ATL10-02_20240109084218_03292201_006_01.h5,1.19,Combined_25km_jan24_gt1r.csv
-74.4138234952124,-31.00031738122544,27.0,0.09,0.7340717315673828,0.7133475608295865,0.1282017081975937,processed_ATL10-02_20240109084218_03292201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-74.24174477991058,-30.907247427857172,12.0,0.09,0.8067207336425781,0.6495615467429161,0.1236623972654342,processed_ATL10-02_20240109084218_03292201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-73.93231428534374,-30.74449687904453,21.0,0.31,0.9024532238642374,7.58290205683027,0.2044990956783294,processed_ATL10-02_20240109084218_03292201_006_01.h5,1.19,Combined_25km_jan24_gt1r.csv
-69.72501366863779,-6.320315917891577,27.0,0.08,1.080593228340149,0.4012280454238255,0.053792655467987,processed_ATL10-02_20240109194220_03362201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-69.72501366863779,-6.320315917891577,27.0,0.08,1.080593228340149,0.4012280454238255,0.053792655467987,processed_ATL10-02_20240109194220_03362201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-74.2086925306005,-28.00216184719132,24.0,0.16,0.8846904993057251,8.802060084417462,0.1833608150482177,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.65,Combined_25km_jan24_gt1r.csv
-73.98116682463491,-28.12202482791634,27.0,0.17,1.0246095458666484,7.349477211634318,0.1415764242410659,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.68,Combined_25km_jan24_gt1r.csv
-73.7441293301997,-28.24393634866407,27.0,0.23,0.809947649637858,2.4241342312759824,0.1458468735218048,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.9,Combined_25km_jan24_gt1r.csv
-73.50403981842582,-28.3643861309614,21.0,0.05,0.882477879524231,20.094028008835657,0.2240843325853347,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-73.34111716988204,-28.44444714425391,15.0,0.07,0.9847180843353271,7.575810551643372,0.1501726955175399,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.32,Combined_25km_jan24_gt1r.csv
-71.93212724386815,-29.084696074809084,21.0,0.04,0.7338094413280487,3.0211334249803,0.1666089445352554,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-71.72833066601643,-29.170654570360867,24.0,0.08,0.7655079875673566,2.8714595129713416,0.1522955596446991,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-74.2086925306005,-28.00216184719132,24.0,0.16,0.8846904993057251,8.802060084417462,0.1833608150482177,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.65,Combined_25km_jan24_gt1r.csv
-73.98116682463491,-28.12202482791634,27.0,0.17,1.0246095458666484,7.349477211634318,0.1415764242410659,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.68,Combined_25km_jan24_gt1r.csv
-73.7441293301997,-28.24393634866407,27.0,0.23,0.809947649637858,2.4241342312759824,0.1458468735218048,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.9,Combined_25km_jan24_gt1r.csv
-73.50403981842582,-28.3643861309614,21.0,0.05,0.882477879524231,20.094028008835657,0.2240843325853347,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-73.34111716988204,-28.44444714425391,15.0,0.07,0.9847180843353271,7.575810551643372,0.1501726955175399,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.32,Combined_25km_jan24_gt1r.csv
-71.93212724386815,-29.084696074809084,21.0,0.04,0.7338094413280487,3.0211334249803,0.1666089445352554,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-71.72833066601643,-29.170654570360867,24.0,0.08,0.7655079875673566,2.8714595129713416,0.1522955596446991,processed_ATL10-02_20240109211637_03372201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-74.7811820699271,-25.494286865940868,12.0,0.05,,0.0,0.0619249567389488,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-73.74390279861967,-24.937472974624587,12.0,0.06,0.8331737816333771,20.87411256507039,0.2234158515930175,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.28,Combined_25km_jan24_gt1r.csv
-73.64890833431514,-24.88951100291867,6.0,0.04,0.7932173609733582,2.916622534394264,0.0588609613478183,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-73.29059639417139,-24.712857801642052,12.0,0.04,0.8970259428024292,4.449958633631468,0.1307905167341232,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-73.12927072397817,-24.63549201826785,24.0,0.08,0.814657598733902,11.187432054430246,0.2143964767456054,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-72.89190790869918,-24.52383972576603,21.0,0.09,0.8655410806337992,4.40883854670184,0.1427082866430282,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-72.67885394223663,-24.42571800883461,24.0,0.14,0.8291129044124058,6.687664549099281,0.2022507786750793,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.57,Combined_25km_jan24_gt1r.csv
-72.45232124928809,-24.323589137306307,27.0,0.08,0.7383827964464823,1.7154618269867368,0.1538573056459427,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-72.23853950919161,-24.229121919905555,21.0,0.13,0.8282907605171204,2.3914740287831853,0.1898593157529831,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.54,Combined_25km_jan24_gt1r.csv
-72.02906249792446,-24.13838199446752,18.0,0.07,0.7750884890556335,0.9375788892308872,0.1351872533559799,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.32,Combined_25km_jan24_gt1r.csv
-71.89264590334575,-24.08012837995189,3.0,0.05,,0.0,0.0628815367817878,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-74.7811820699271,-25.494286865940868,12.0,0.05,,0.0,0.0619249567389488,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-73.74390279861967,-24.937472974624587,12.0,0.06,0.8331737816333771,20.87411256507039,0.2234158515930175,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.28,Combined_25km_jan24_gt1r.csv
-73.64890833431514,-24.88951100291867,6.0,0.04,0.7932173609733582,2.916622534394264,0.0588609613478183,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-73.29059639417139,-24.712857801642052,12.0,0.04,0.8970259428024292,4.449958633631468,0.1307905167341232,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.21,Combined_25km_jan24_gt1r.csv
-73.12927072397817,-24.63549201826785,24.0,0.08,0.814657598733902,11.187432054430246,0.2143964767456054,processed_ATL10-02_20240110081640_03442201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
